"file_id","input_path","output_path","score","Version","id","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10"
"Scanned from a Xerox Multifunction Printer001.jpg","OMR_input/input/Scanned from a Xerox Multifunction Printer001.jpg","output/input/CheckedOMRs/Scanned from a Xerox Multifunction Printer001.jpg","0","A","91034","D","A","B","","A","C","E","B","AD","E"
"Scanned from a Xerox Multifunction Printer002.jpg","OMR_input/input/Scanned from a Xerox Multifunction Printer002.jpg","output/input/CheckedOMRs/Scanned from a Xerox Multifunction Printer002.jpg","0","B","92739","C","A","ABCDE","D","B","E","C","E","A","D"
"Scanned from a Xerox Multifunction Printer003.jpg","OMR_input/input/Scanned from a Xerox Multifunction Printer003.jpg","output/input/CheckedOMRs/Scanned from a Xerox Multifunction Printer003.jpg","0","CE","107355","E","A","B","B","A","B","E","B","E","A"
"Scanned from a Xerox Multifunction Printer004.jpg","OMR_input/input/Scanned from a Xerox Multifunction Printer004.jpg","output/input/CheckedOMRs/Scanned from a Xerox Multifunction Printer004.jpg","0","D","092758","E","B","E","B","E","B","A","E","B","D"
"Scanned from a Xerox Multifunction Printer005.jpg","OMR_input/input/Scanned from a Xerox Multifunction Printer005.jpg","output/input/CheckedOMRs/Scanned from a Xerox Multifunction Printer005.jpg","0","E","106270","C","E","E","B","B","E","A","E","ABCDE","C"
"Scanned from a Xerox Multifunction Printer006.jpg","OMR_input/input/Scanned from a Xerox Multifunction Printer006.jpg","output/input/CheckedOMRs/Scanned from a Xerox Multifunction Printer006.jpg","0","F","107269","A","E","BD","E","C","D","A","C","E","A"
